epoch,train_loss,train_accuracy,test_loss,test_accuracy,time_ms
0,0.633946,0.5605,7.02648,0.3904,8488
1,0.697509,0.650817,5.56275,0.5273,9183
2,0.836631,0.671283,5.86532,0.5636,9126
3,0.940861,0.7197,4.06695,0.6308,9175
4,1.00664,0.7708,3.27351,0.7118,9145
5,1.0671,0.789517,2.77722,0.7613,9146
6,1.13811,0.785633,3.466,0.7465,9068
7,1.22817,0.7912,3.07545,0.7668,9060
8,1.28842,0.769483,2.93088,0.7229,9121
9,1.34726,0.726617,3.15235,0.6941,9116
10,1.39661,0.750517,4.06242,0.7309,9081
11,1.42174,0.693233,6.66562,0.644,9142
12,1.43635,0.72175,4.71525,0.7185,9177
13,1.43575,0.709667,4.67916,0.7164,9111
14,1.41681,0.6956,5.27079,0.7133,9146
15,1.44228,0.7026,4.80724,0.7287,9338
16,1.4405,0.676683,4.83375,0.6895,9189
17,1.44018,0.6902,3.63549,0.7101,9500
18,1.43985,0.643667,5.69477,0.6308,9496
19,1.46557,0.6768,3.67978,0.6835,9353
