epoch,train_loss,train_accuracy,test_loss,test_accuracy,time_ms
0,0.660767,0.689567,1.4536,0.5838,3472
1,0.385788,0.818383,0.724225,0.776,3328
2,0.298787,0.852433,0.577263,0.8152,3347
3,0.247696,0.887083,0.435175,0.8649,3371
4,0.21559,0.904517,0.37514,0.8839,3293
5,0.192984,0.914567,0.342397,0.8943,3411
6,0.175709,0.922,0.313473,0.9043,3326
7,0.162986,0.928983,0.287933,0.9117,3342
8,0.152877,0.9337,0.272428,0.9176,3330
9,0.144332,0.93695,0.26358,0.9209,3231
10,0.136951,0.938533,0.263629,0.9239,3284
11,0.130464,0.940717,0.262462,0.9243,3314
12,0.124458,0.94275,0.261115,0.9274,3279
13,0.11928,0.944767,0.257449,0.9283,3314
14,0.11468,0.946917,0.256438,0.9307,3239
15,0.110249,0.9474,0.258849,0.9312,3313
16,0.106125,0.949633,0.255731,0.9323,3317
17,0.102253,0.951233,0.250754,0.9352,3260
18,0.0989343,0.9525,0.252896,0.9354,3312
19,0.0956393,0.9554,0.244739,0.9388,3338
