Epoch	Train Loss	Train Accuracy(%)	Test Loss	Test Accuracy(%)
1	0.0824196	89.1167	0.327068	53.68
2	0.0499391	93.31	0.149678	79.23
3	0.039655	94.6917	0.092246	87.47
4	0.0338066	95.4267	0.0729636	90.32
5	0.029446	96.0833	0.0697387	90.95
6	0.0259354	96.5433	0.0675625	91.32
7	0.0237624	96.8733	0.0651868	91.64
8	0.0216721	97.1983	0.0686624	91.14
9	0.0202839	97.3583	0.0637732	91.89
10	0.0189245	97.535	0.0721612	90.84
11	0.0176338	97.7317	0.0686761	91.37
12	0.0167663	97.825	0.0556562	93.16
13	0.0163101	97.8633	0.0470687	94.23
14	0.0157142	97.9433	0.0495801	94.02
15	0.015121	97.99	0.0466434	94.41
16	0.0142261	98.14	0.0520372	93.69
17	0.0137646	98.155	0.048619	94.1
18	0.0129176	98.2967	0.0474933	94.21
19	0.0126298	98.35	0.0479068	94.13
20	0.0114338	98.5417	0.0481738	94.17
