Epoch	Train Loss	Train Accuracy(%)	Test Loss	Test Accuracy(%)
1	0.343001	56.0033	0.260761	65.95
2	0.193438	75.4367	0.175997	76.68
3	0.14637	80.8783	0.14327	81.06
4	0.123209	83.8	0.125201	83.12
5	0.108572	85.6467	0.112973	84.75
6	0.0983219	86.94	0.10354	85.9
7	0.0906345	87.9883	0.0958095	87.07
8	0.0845575	88.7717	0.0893195	87.96
9	0.079554	89.42	0.0837786	88.62
10	0.075312	90.02	0.078983	89.17
11	0.0716398	90.455	0.0747776	89.77
12	0.0684114	90.935	0.0710483	90.2
13	0.0655386	91.33	0.0677134	90.75
14	0.0629611	91.68	0.0647154	91.15
15	0.0606286	92.0017	0.062012	91.65
16	0.0585022	92.2483	0.0595727	92.03
17	0.0565509	92.49	0.0573721	92.31
18	0.0547492	92.7567	0.0553859	92.63
19	0.0530769	92.9683	0.0535932	92.93
20	0.0515184	93.18	0.0519725	93.2
