epoch,train_loss,train_accuracy,test_loss,test_accuracy,time_ms
0,0.848868,0.613133,4.95841,0.4528,19733
1,0.962801,0.804,2.38548,0.749,20357
2,1.06381,0.852133,1.92588,0.8281,20927
3,1.16922,0.855433,1.39969,0.8404,20541
4,1.23356,0.87075,1.48693,0.8593,19700
5,1.33016,0.862783,1.40515,0.854,20459
6,1.4025,0.867017,1.28718,0.8592,19645
7,1.45967,0.861967,1.26276,0.8571,19667
8,1.47727,0.83505,0.930889,0.8233,20749
9,1.47205,0.856733,1.08547,0.8587,20262
10,1.48412,0.8469,0.931982,0.8481,19956
11,1.48507,0.831967,1.18582,0.815,20366
12,1.52148,0.83765,1.24554,0.8367,20647
13,1.56361,0.84275,1.22167,0.8526,20027
14,1.57358,0.787333,1.1203,0.7763,20974
15,1.57984,0.810317,0.965255,0.8121,20959
16,1.61475,0.81895,1.00065,0.8292,20863
17,1.60879,0.836117,1.15679,0.8404,20481
18,1.58962,0.782917,1.02051,0.774,20599
19,1.58515,0.784483,1.19435,0.7662,21032
