epoch,train_loss,train_accuracy,test_loss,test_accuracy,time_ms
0,0.537926,0.539833,11.64,0.3149,17725
1,0.615421,0.717533,5.35778,0.6078,18901
2,0.670464,0.788617,3.79709,0.7103,18974
3,0.690892,0.8289,3.54782,0.7697,18824
4,0.683967,0.800017,5.0719,0.7272,18865
5,0.678277,0.824,4.46384,0.7543,19008
6,0.691743,0.8677,3.17705,0.8288,18978
7,0.6921,0.860783,3.8833,0.8104,18912
8,0.665874,0.903883,1.88522,0.881,18935
9,0.688154,0.901083,2.22872,0.8688,18816
10,0.668253,0.91335,1.75522,0.8946,18964
11,0.673285,0.922933,1.63164,0.9044,18983
12,0.671601,0.907517,1.94065,0.8813,18940
13,0.68186,0.918117,1.78429,0.8965,18844
14,0.666879,0.924817,1.70533,0.9106,18934
15,0.657433,0.926967,1.71289,0.9094,18830
16,0.669935,0.934333,1.53581,0.9219,19031
17,0.665791,0.933283,1.57569,0.9185,19021
18,0.672178,0.92045,1.88079,0.9003,19084
19,0.673882,0.9282,1.81211,0.9054,19067
