epoch,train_loss,train_accuracy,test_loss,test_accuracy,time_ms
0,0.545354,0.715767,1.30654,0.6086,6858
1,0.297543,0.802,0.82574,0.7274,6866
2,0.230016,0.8509,0.618795,0.7947,6869
3,0.190298,0.881667,0.499743,0.8353,6909
4,0.162592,0.90495,0.409377,0.8671,6800
5,0.141743,0.927217,0.31577,0.8995,6802
6,0.125408,0.937483,0.278669,0.9129,6818
7,0.111856,0.94345,0.261268,0.9186,6769
8,0.100329,0.950233,0.236788,0.9291,6764
9,0.0905196,0.954267,0.225408,0.9333,6841
10,0.0820919,0.95875,0.210813,0.9383,6735
11,0.0745454,0.96385,0.191727,0.9445,6993
12,0.0675145,0.966717,0.187063,0.9464,6899
13,0.0614057,0.969933,0.178042,0.9491,6953
14,0.0555426,0.973367,0.170757,0.9516,6805
15,0.0501695,0.974817,0.170553,0.9526,6836
16,0.0455113,0.976267,0.16813,0.9549,6879
17,0.0410996,0.977133,0.171648,0.956,6904
18,0.0369529,0.978717,0.170085,0.9566,6785
19,0.0332199,0.981067,0.166525,0.9583,6778
